Wikipedia Movie ID	Wikidata movie ID	Rotten Tomatoes score	Number of reviews
33870773	Q7137047		
22308889	Q7733222		
13706555	Q731935		
17486320	Q4929645		
7696753	Q386245	91.0	22.0
32148709	Q5268882		
28327554	Q7735682		
31156816	Q6126956		
17379289	Q906387		
18037577	Q3988736		
23066641	Q7321046		
17960503	Q4656687		
13919299	Q4154977		
10705531	Q747395	60.0	5.0
4459059	Q963283	50.0	36.0
6471697	Q4699937		
413207	Q726215		
14886428	Q6267708		
34689049	Q1304846		
36542079	Q2079261		
4069274	Q3283691	32.0	73.0
1643787	Q125452		
3681139	Q676500	33.0	30.0
35923481	Q2571471		
11013589	Q5261180		
26205476	Q3072003		
20365034	Q10581740		
33843262	Q231967		
8955475			
5685826	Q7715037		
24234630	Q6842747		
5549065	Q212041	86.0	232.0
14543900	Q2128981		
35567084	Q485978		
24364162	Q7030850		
14739568	Q5935470		
37067980	Q7711221		
22644083			
171058	Q556967	60.0	52.0
2608958	Q1065201	28.0	25.0
21618909	Q2381104		
26624119	Q1109729	60.0	5.0
6273971	Q4380922		
2546429	Q1243019	19.0	31.0
25947106	Q7766559		
9916335	Q6463595		
2596816	Q5121268		
20553214	Q6897560		
14630761	Q6897745		
34472259	Q7944204		
3927698	Q3793701		
31686022	Q5966480	40.0	5.0
25753113	Q8030597		
6792375			
24416479	Q813045	17.0	6.0
31021783	Q4013825		
14773122	Q4749055		
36166216	Q3819166		
1688879	Q638848		
12490207	Q3358891		
20904045	Q5068521		
29468997	Q3153878		
2574970	Q4906660		
240088	Q2438494		
14881706	Q7732173		
29141182	Q3003212		
32584198	Q7577072	22.0	9.0
31613768	Q1407094		
6170621	Q1759355		
33148159	Q1878010		
12380008	Q3196717		
16672517			
24053482	Q1634678		
11252861	Q4700340		
32345990	Q8071486		
13911991	Q4659419		
3883051	Q6973969	0.0	7.0
20117139	Q7648751		
34530005	Q5979827		
1033297	Q153484	36.0	131.0
21236198	Q3732466		
9105523	Q837939	82.0	11.0
15737392	Q454816		
31025770	Q6465996		
33519683			
31155676			
32400923	Q1956410		
25393275	Q6425186		
12510319	Q753159		
17594419	Q627931		
207680	Q612323	55.0	33.0
5771666			
36422018	Q3985802		
7489503	Q6383121		
27667647	Q7161560		
1858682	Q545725	88.0	25.0
33006259	Q7768183		
15221045	Q7451667		
12802045	Q7750147		
33559533	Q5269248		
7235116	Q1195568	65.0	31.0
13723442	Q1447769		
24862266	Q6902888		
5254729	Q431536	64.0	11.0
5007743	Q423004		
22695715	Q7741682		
2051395	Q1304611	40.0	5.0
34858219	Q10673572		
15457461	Q6944978		
19168185	Q2328533	22.0	23.0
9124011	Q5243249		
11943972	Q1089373		
1393873	Q2755097		
24291753	Q7721362		
20648586	Q7599731		
7447592	Q2607724		
3865579	Q2384699		
14558212	Q7765674		
3959961	Q4813104		
235331	Q847709	73.0	15.0
32494263	Q4740008		
8616622	Q7899221		
34169001	Q8057439		
9560806	Q4807952		
27504492	Q493306		
22697314	Q6033771		
1249014	Q663469	100.0	33.0
18620635	Q7741520		
9879162	Q2521030		
35516437	Q4662689		
29513277	Q1762528		
35785312	Q452171		
20506905	Q970779	55.0	44.0
28360743	Q5465694		
30624204	Q7406571		
28178412	Q6745433		
9857888	Q5350805		
30551885	Q7582245		
20634623	Q5546666		
15297854	Q1024400	68.0	41.0
35962988	Q5094967		
31915495	Q6663547		
13931033	Q7073264		
2172156	Q13111257		
14109452	Q3819301		
4783144	Q1385260	50.0	8.0
23454846	Q6450619		
4058835	Q1549103		
7583494	Q2343648	36.0	11.0
16183379	Q5431021		
24282238	Q8048101		
16688733	Q2561972		
19314444	Q5697890		
25446757	Q5453095		
2642180	Q3191800	89.0	18.0
24320836	Q669845		
12384049	Q3373356		
25019575	Q7682982		
31251203	Q1661356		
15858518	Q12913812		
36448826	Q2313747		
29016627	Q7559450		
16572418			
33544694			
6004372	Q584662	76.0	25.0
4473622	Q2259762	71.0	14.0
33639428			
20484431	Q5123333		
14840648	Q7768203		
3867110	Q16996027		
7251994	Q5466746		
10366326	Q5575698		
1924820	Q7763246		
5418970	Q4787529		
2093270	Q1218001	64.0	11.0
22332882	Q667764	84.0	19.0
22757028			
4434585	Q6739152		
11686007	Q12127510		
9857879	Q8404567		
9384481	Q1323261		
22557257			
8637169	Q3007933	43.0	53.0
30957142	Q4367141		
7731853	Q1057743		
21752299	Q3363032		
12091274	Q2916143	50.0	64.0
856733	Q1143501	94.0	31.0
36320373	Q2106565		
15698879	Q6807899		
24789247	Q5641565		
8887199	Q12101020		
28352636	Q1766336		
20018854	Q16249358		
76345	Q596260	88.0	42.0
7582987	Q7736329	100.0	5.0
28858056	Q7827355		
24021571	Q2656371	46.0	109.0
1854612	Q1968656		
3341998	Q2636079		
11696799	Q650534		
11463957	Q4792410		
